Condition_no,Category,Document,Hints
1,Specific,"""Consent for Establish"" shall be obtained from Haryana State Pollution Control Board under Air and Water Act and a copy shall be submitted to the SEIAA, Haryana before the start of any construction work at site.",The organization need tyo select an env consultant to get the NOC of CTE from PCB
2,Specific,A first aid room as proposed in the project report shall be provided both during construction and operational phase of the project,ZYZ
3,Specific,Adequate drinking water and sanitary facilities shall be provided for construction worker at the site. Provision should be made for mobile toilets. Open defecation by the labourers is strictly prohibited. The safe disposal of solid wastes/waste water generated during the construction phase should be ensured. Efforts shall be made to provide mobile STP for treatment of waste water during the construction phase.,ABC
4,Specific,All the topsoil excavated during construction activities shall be stored for use in horticulture/landscape development within the project site.,XYZ
5,Specific,"The project proponent shall ensure that the building material required during construction phase is properly stored within the project area and disposal of construction waste should not create any adverse effect on the neighboring communities and should be disposed of after taking necessary precautions for general safety and health aspects of people, only in approved sites with the approval of competent authority.",ABC
6,Specific,"Construction spoils, including bituminous material and other hazardous materials, must not be allowed to contaminate watercourses and the dump sites for such material must be secured so that they should not leach into the ground water and any hazardous waste generated during construction phase, should be disposed off as per applicable rules and norms with necessary approval of the Haryana State Pollution Control Board.",ZYZ
7,Specific,The diesel generator sets to be used during construction phase shall be of ultra low sulphur diesel type and should conform to Environment (Protection) Rules prescribed for air and noise emission standards.,ABC
8,Specific,"The diesel required for operating DG sets shall be stored in underground tanks and if required,  clearance from Chief Controller of Explosives shall be taken.",XYZ
9,Specific,Fly ash shall be used as building material in the construction as per provisions of Fly Ash Notification of September 1999 and as amended on 27th August 2003.,ZYZ
10,Specific,Storm water control and its re-use as per CGWB and BIS standards for various applications should be ensured.,ABC
11,Specific,"Water demand during construction shall be reduced by use of pre-mixed concrete, curing agents and other best practices.",XYZ
12,Specific,"In view of the severe constrains in water supply augmentation in the region and sustainability of water resources, the developer will submit the NOC from CGWA specifying water abstraction quantities and assurance from HUDA/utility provider indicating source of water supply and quantity of water with details of intended use of water - potable and non-potable. Assurance is required for both construction and operation stages separately. It shall be submitted to the SEIAA",ZYZ
13,Specific,"and RO, MOEF, Chandigarh before the start of construction.",ABC
14,Specific,Roof must meet prescriptive requirement as per Energy Conservation Building Code by using appropriate thermal insulation material.,XYZ
15,Specific,Opaque wall must meet prescriptive requirement as per Energy Conservation Building Code which is proposed to be mandatory for all air conditioned spaces while it is desirable for non-air-conditioned spaces by use of appropriate thermal insulation material to fulfill requirement.,ZYZ
16,Specific,"The approval of the competent authority shall be obtained for structural safety of the building on account of earthquake, adequacy of fire fighting equipments, etc. as per National Building Code including protection measures from lightening etc. If any forest land is involved in the proposed site, clearance under Forest Conservation Act shall be obtained from the competent Authority.",ABC
17,Specific,"Overexploited groundwater and impending severe shortage of water supply in the region requires the developer to redraw the water and energy conservation plan. Developer shall reduce the overall footprint of the proposed development.  Project proponent shall incorporate water efficiency /savings measures as well as water reuse/recycling within 3 months and before start of construction to the SEIAA, Haryana and RO, MOEF, GOI. Chandigarh.",XYZ
18,Specific,The Project Proponent as stated in the proposal shall construct total 13 rain water harvesting pits for recharging the ground water within the project premises. Rain water harvesting pits shall be designed to make provisions for silting chamber and removal or floating matter before entering harvesting pit. Maintenance budget and persons responsible for maintenance must be provided. Care shall also be taken that contaminated water do not enter any RWH pit.,ABC
