S.No,"Project Code","Project Name","Project Type",Stage,Status,Date
1,2,Kloudrac-GRC,"Groups Housing","6 Monthly Compliance",New,"2020-09-02 20:31:28"
2,"Kloudrac/project for Kerla/EC/August/2020/0078","Project For Kerla","Groups Housing",EC,New,"2020-08-28 11:01:54"
3,4,Cddddd,"Plotted Colony",EC,"On Hold","2020-08-28 08:47:12"
4,2,"New Project For Report Test","Groups Housing",EC,Running,"2020-08-28 08:46:43"
5,"KloudracDigi Project/EC/August/2020/01","Digi Project","Groups Housing",EC,New,"2020-08-19 16:13:14"
6,Kloudracnxndjsj/GB/August/2020/01,Nxndjsj,Commercial,GB,Completed,"2020-08-19 15:35:50"
7,Kloudrac/nsljdzfhjcs/CTE/August/2020/0073,Nsljdzfhjcs,Residential,CTE,Running,"2020-08-19 14:28:26"
8,"KloudracGRC India Pvt Ltd/EC/August/2020/01","GRC India Pvt Ltd","Groups Housing",EC,New,"2020-08-19 14:22:55"
9,Kloudracndkdkksksks/CTO/August/2020/01,Ndkdkksksks,"Hospital & Healthcare",CTO,Running,"2020-08-19 07:52:31"
10,Kloudracgshhsh/CTE/August/2020/01,Gshhsh,"Hospital & Healthcare",CTE,Running,"2020-08-17 13:03:39"
11,ujjval/jwhejhw/CTE/August/2020/0065,Jwhejhw,Warehouse,CTE,"On Hold","2020-08-17 08:56:08"
12,"GTIgahhaha/6 Monthly Compliance/July/2020/01","Infosis 123","Hospital & Healthcare",EC,Completed,"2020-08-17 08:48:35"
13,2,"TSC All","Groups Housing",EC,New,"2020-08-16 18:54:30"
