S.No,"ORG ID","ORG Name","ORG Email",Country,Date
1,ORG-016,"Digi India",digiindia@gmail.com,Ara,"2020-08-19 16:03:46"
2,ORG-015,Bshshs,shhshsh@msn.com,Garacharma,"2020-08-19 15:33:50"
3,ORG-014,"GRC Dubai",Grx@gmail.com,Ara,"2020-08-19 14:45:05"
4,ORG-013,"Check Logo 2",nznsmam@msn.com,Eshkashem,"2020-08-17 08:23:44"
5,ORG-012,"Check Logo",sjjsjsjsj@gmail.com,Eshkashem,"2020-08-15 09:13:45"
6,ORG-011,GIC,GICUPaaa@gmail.com,Bhimavaram,"2020-08-15 00:27:52"
7,ORG-010,Test123,amsBD@gmail.com,Baramulla,"2020-08-13 09:38:49"
8,ORG-009,"Vimlesh Org",hiorg123@gmail.com,Kanpur,"2020-08-19 16:07:48"
9,ORG-008,"Org Name",orgname@test.com,Bombuflat,"2020-08-17 08:23:02"
10,ORG-005,Ujjval,ujjvalsd@gmail.com,Carapur,"2020-07-14 11:17:33"
11,ORG-004,GITy,git@gmail.com,Jairampur,"2020-08-01 16:14:06"
12,ORG-003,GTIu,gti@gmail.com,Changlang,"2020-08-01 16:21:19"
13,ORG-001,Kloudrac,Kloudrac@gmail.com,Delhi,"2020-07-09 13:39:06"
