S.No,"Project Code","Project Name","Project Type",Stage,Status,Date
1,"Arun Jellwerys/Gold Ring/EC/October/2020/0086","Gold Ring","Groups Housing",EC,New,"2020-10-09 14:00:11"
2,"Kloudrac/Supertech CapeVILLA/6 Monthly Compliance/September/2020/0085","Supertech CapeVILLA","Groups Housing",EC,New,"2020-09-30 16:09:56"
3,"Kloudrac/Supertech Capetown/6 Monthly Compliance/September/2020/0084","Supertech Capetown","Groups Housing","6 Monthly Compliance",New,"2020-09-30 16:09:12"
4,"Vimlesh OrgDabar/EC/September/2020/01",Dabar,"Groups Housing",EC,New,"2020-09-05 20:53:55"
5,"org karnatakatest project 5 Sep/EC/September/2020/01","Test Project 5 Sep","Groups Housing",EC,New,"2020-09-05 18:04:32"
6,2,"Project For Kerla","Groups Housing",EC,New,"2020-09-05 10:15:16"
7,2,"New Project For Report Test","Groups Housing",EC,Running,"2020-09-05 14:43:28"
8,"KloudracDigi Project/EC/August/2020/01","Digi Project","Groups Housing",EC,New,"2020-08-19 16:13:14"
9,Kloudracnxndjsj/GB/August/2020/01,Nxndjsj,Commercial,GB,Completed,"2020-08-19 15:35:50"
10,Kloudrac/nsljdzfhjcs/CTE/August/2020/0073,Nsljdzfhjcs,Residential,CTE,Running,"2020-08-19 14:28:26"
11,"KloudracGRC India Pvt Ltd/EC/August/2020/01","GRC India Pvt Ltd","Groups Housing",EC,New,"2020-08-19 14:22:55"
12,Kloudracndkdkksksks/CTO/August/2020/01,Ndkdkksksks,"Hospital & Healthcare",CTO,Running,"2020-08-19 07:52:31"
13,Kloudracgshhsh/CTE/August/2020/01,Gshhsh,"Hospital & Healthcare",CTE,Running,"2020-08-17 13:03:39"
14,ujjval/jwhejhw/CTE/August/2020/0065,Jwhejhw,Warehouse,CTE,"On Hold","2020-08-17 08:56:08"
15,2,"TSC All","Groups Housing",EC,New,"2020-08-16 18:54:30"
16,"GTIgahhaha/6 Monthly Compliance/July/2020/01","Infosis 123","Hospital & Healthcare",EC,Completed,"2020-08-17 08:48:35"
